Qn1,Qn2,Qn3,Qn4,Qn5,Qn6,Qn7,Qn8,Qn9,Qn10,Qn11,Qn12,Qn13,Qn14,Qn15,Qn16,Qn17,Qn18,Qn19,Qn20,Qn21,Qn22,Qn23,Qn24,Qn25,Qn26,Qn27,Qn28,Qn29,Qn30,Qn31,Qn32,Qn33,Qn34,Qn35,Qn36,Qn37,Qn38,Qn39,Qn40,Qn41,Qn42,Qn43,Qn44,Qn45,Qn46,Qn47,Qn48,Qn49,Qn50,fn1,fn2,fn3,fn4,fn5,fn6,fn7,fn8,htn1,htn2,htn3,htn4,htn5,htn6,htn7,htn8,htn9,htn10,
No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,a,b,d,No Selected,c,a,d,a,b,c,a,b,c,a,d,a,a,a,c,d,c,a,b,c,c,d,d,c,a,a,a,b,b,d,d,b,c,b,b,a,d,c,b,No Selected,5,NS,4,1,3,7,8,9,6,5,4,3,2,1,7,8,9,10,4
No Selected,c,No Selected,No Selected,No Selected,No Selected,d,c,b,d,b,a,c,a,c,b,c,c,d,d,a,No Selected,c,d,d,b,c,b,a,b,c,d,d,c,c,b,c,a,c,c,b,b,a,a,No Selected,c,a,d,No Selected,c,6,5,7,4,1,3,8,2,2,6,8,5,4,NS,9,3,7,10,1
No Selected,d,No Selected,No Selected,No Selected,No Selected,b,c,No Selected,d,No Selected,c,d,a,b,a,d,c,a,c,d,b,a,c,a,b,b,c,d,c,b,a,c,d,c,b,a,d,b,c,a,a,d,b,b,c,d,b,No Selected,No Selected,2,9,1,2,3,10,9,6,6,7,3,1,10,8,5,9,2,7,3
No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,c,No Selected,No Selected,b,c,b,d,d,c,No Selected,b,c,b,b,c,d,d,d,d,d,a,b,d,c,c,b,a,d,b,c,a,a,c,b,b,a,d,d,Multiple Selected,b,d,b,c,5,3,2,4,8,9,6,7,2,5,4,3,9,8,1,7,6,10,8
No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,d,No Selected,No Selected,c,d,b,a,c,b,d,a,c,b,c,a,d,a,b,a,c,b,d,b,c,No Selected,d,b,c,d,b,a,c,d,No Selected,No Selected,c,No Selected,c,b,c,No Selected,No Selected,6,8,MS,1,MS,5,7,NS,NS,NS,MS,NS,MS,1,4,MS,NS,NS,MS
