Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Qp1,Qp2,Qn1,Qn2,Qn3,Qn4,Qn5,Qn6,Qn7,Qn8,Qn9,Qn10,Qn11,Qn12,Qn13,Qn14,Qn15,Qn16,Qn17,Qn18,Qn19,Qn20,Qn21,Qn22,Qn23,Qn24,Qn25,Qn26,Qn27,Qn28,Qn29,Qn30,Qn31,Qn32,Qn33,Qn34,Qn35,Qn36,Qn37,Qn38,Qn39,Qn40,Qn41,Qn42,Qn43,Qn44,Qn45,Qn46,Qn47,Qn48,Qn49,Qn50
MS,3,0,1,2,0,8,0,5,3,b,b,d,b,b,d,c,c,d,c,d,b,d,c,d,c,d,a,b,d,No Selected,No Selected,c,a,No Selected,b,No Selected,d,No Selected,a,c,No Selected,b,d,a,a,c,No Selected,a,No Selected,No Selected,No Selected,No Selected,a,No Selected,No Selected,c,No Selected,No Selected,a,No Selected,a
2,MS,MS,1,2,0,8,0,6,4,b,b,a,a,c,No Selected,a,No Selected,No Selected,a,No Selected,a,No Selected,b,d,a,b,b,a,No Selected,No Selected,No Selected,No Selected,No Selected,No Selected,b,No Selected,a,c,Multiple Selected,b,No Selected,a,c,a,a,b,a,b,No Selected,No Selected,d,a,d,No Selected,b,Multiple Selected,b,c,No Selected,No Selected,a
2,3,0,1,2,0,8,0,7,1,b,b,a,b,b,No Selected,Multiple Selected,c,d,a,No Selected,a,c,No Selected,d,d,b,d,c,a,d,c,No Selected,a,No Selected,b,d,c,a,No Selected,No Selected,d,No Selected,No Selected,d,No Selected,c,No Selected,b,a,a,No Selected,d,b,No Selected,No Selected,a,No Selected,c,a,c,a
2,3,0,1,2,0,8,0,9,4,b,b,c,a,d,d,d,b,d,d,b,a,No Selected,a,b,d,b,c,d,a,a,No Selected,a,No Selected,No Selected,No Selected,d,No Selected,b,No Selected,No Selected,d,c,No Selected,b,No Selected,d,d,d,No Selected,No Selected,No Selected,No Selected,d,a,a,a,c,a,d,c,d
2,3,0,1,2,0,8,1,4,6,b,b,d,No Selected,b,d,b,b,d,No Selected,d,No Selected,No Selected,a,d,No Selected,b,b,d,No Selected,c,No Selected,d,a,a,d,No Selected,d,c,d,b,d,No Selected,d,b,No Selected,a,b,d,No Selected,No Selected,No Selected,No Selected,a,Multiple Selected,b,c,b,b,No Selected,c,a
