Qn1,Qn2,Qn3,Qn4,Qn5,Qn6,Qn7,Qn8,Qn9,Qn10,Qn11,Qn12,Qn13,Qn14,Qn15,Qn16,Qn17,Qn18,Qn19,Qn20,Qn21,Qn22,Qn23,Qn24,Qn25,Qn26,Qn27,Qn28,Qn29,Qn30,Qn31,Qn32,Qn33,Qn34,Qn35,Qn36,Qn37,Qn38,Qn39,Qn40,Qn41,Qn42,Qn43,Qn44,Qn45,Qn46,Qn47,Qn48,Qn49,Qn50,fn1,fn2,fn3,fn4,fn5,fn6,fn7,fn8,htn1,htn2,htn3,htn4,htn5,htn6,htn7,htn8,htn9,htn10,
a,c,c,b,d,c,a,b,d,b,c,a,d,a,b,c,a,b,c,a,d,a,a,a,c,d,c,a,b,c,c,d,d,c,a,a,a,b,b,d,d,b,c,b,b,a,d,c,b,b,4,1,3,0,2,6,7,8,5,4,3,2,1,0,6,7,8,9,3
b,c,a,c,a,c,d,No Selected,b,d,b,a,c,a,c,b,c,c,d,d,a,b,c,d,d,b,c,b,a,b,c,d,No Selected,c,c,b,c,a,c,c,b,b,a,a,c,c,a,d,b,c,5,4,6,3,0,2,7,1,1,5,7,4,3,0,8,2,6,9,0
b,d,a,c,b,a,b,c,a,d,b,c,d,a,b,a,d,c,a,c,d,b,a,c,a,b,b,c,d,c,b,a,c,d,c,b,a,d,b,c,a,a,d,b,b,c,d,b,a,d,1,8,0,1,2,9,8,5,5,6,2,0,9,7,4,8,1,6,2
b,c,a,a,b,c,d,c,a,b,b,c,b,d,d,c,b,b,c,b,b,c,d,d,d,d,d,a,b,d,c,c,b,a,d,b,c,a,a,c,b,b,a,d,d,No Selected,b,d,b,c,4,2,1,3,7,8,5,6,1,4,3,2,8,7,0,6,5,9,7
b,c,b,c,b,d,a,b,d,c,a,c,d,b,a,c,b,d,a,c,b,c,a,d,a,b,a,c,b,d,b,c,a,d,b,c,d,b,a,c,d,a,b,c,d,c,b,c,a,d,5,7,3,0,2,4,6,3,7,7,NS,7,7,0,3,NS,NS,7,0
